year,meeting_number,speaker,speech,party
2018,39,Christensen (DF),"Ja, tallene er rigtige. Ja, vi står på mål for det. Førhen var det sådan, at de tal, der blev sagt her, gik til satspuljen; de gik væk fra de her grupper, de gik ud af deres forsørgelsesgrundlag, de forsvandt over i en anden pulje til noget andet godt. Det, der sker nu, er, at de bliver sat ind på deres egen konto, hvor ATP forrenter dem, og den dag, de bliver pensionister, får de dem udbetalt igen. Det er da bare en fantastisk god aftale, der er lavet. Selv om man står uden for arbejdsmarkedet i en kortere eller længere periode, skal man da selvfølgelig have mulighed for at indbetale til sin pension, således at man også kan have et godt ældreliv, selv om man måske ikke har været helt eller delvis knyttet til arbejdsmarkedet i sin arbejdsdygtige alder. Jeg kan ikke forstå, hvis der er nogle, der synes, det er en dårlig aftale. Det er en winwin-aftale, og nu går pengene til dem selv – de går ikke til andre formål. Første næstformand",DF
2007,51,Simon Emil Ammitzbøll (RV),"Man kan jo sige, hvad man vil. Vi lever jo heldigvis i et land med ytringsfrihed. Men nu er det sådan, at i både Spanien, Belgien og Holland anerkender man allerede, at parforhold mellem to mennesker af samme køn er et ægteskab på lige fod med et ægteskab mellem mand og kvinde, altså findes det allerede. Det, vi taler om, er, at vi gerne vil give et indhold, der gør, at ægteskabslovgivningen i virkeligheden bliver fuldstændig ens for par af forskelligt køn som for par af samme køn. Der er tre undtagelser tilbage i den nuværende lovgivning. De handler om adoption, de handler om nogle af anerkendelsesreglerne i forlængelse af insemination, og så handler de om, hvorvidt en kirkelig eller religiøs vielse vil kunne få juridisk gyldighed. Det er den ligestilling, vi vil have, og man kan sige, at lige meget, hvad hr. Søren Krarup eller andre leger, er der jo allerede denne form for ægteskaber, lige meget om vi kalder dem ægteskaber eller partnerskaber. Tredje næstformand (Holger K.",RV
2014,38,(Carsten Hansen),"Det, der er så godt ved det her lovforslag, fru Charlotte Dyremose, er i virkeligheden, at det er kommunerne, der betaler for forskellen mellem de meget dyre grunde og ned til det, man kan bygge for inden for rammebeløbet. Man kan opføre almene boliger til den normale pris på også de attraktive grunde, og vi kan få en blandet beboermasse. Er De Konservative uenige i, at der også skal bo mennesker med en almindelig indkomst i f.eks. Nordhavnen? Anden næstformand",S
2022,60,Dam (SIU),"Jamen det er jo bare lidt spøjst, idet ordføreren decideret sagde, at det er over halvdelen af de offentlige indtægter. Men hvis vi kigger på den offentlige kasses totale indtægt, er det lidt over 12 mia. kr. Her udgør bloktilskuddet knap og nap en tredjedel og er slet ikke tæt på at være halvdelen af de offentlige indtægter. Så det er bare for at få faktaene på plads. Jeg er enig i, at vi jo selvfølgelig skal kunne snakke om tingene. Selvfølgelig skal vi også kunne nævne nogle personer, men at omtale en hel befolkningsgruppe – alle dem, der støtter op om selvstændighed, hvilket plejer at være op til netop 75 pct. af den grønlandske befolkning – som værende elitær, er nok ikke særlig retvisende. Den fg. formand",SIU
2011,71,Kulturministeren (Uffe Elbæk),"Jeg vil sige til hr. Michael Aastrup Jensen, at jeg som sagt meget gerne både vil tage høringssvaret alvorligt og tage den diskussion. Hvis der overhovedet er nogle tvivlsspørgsmål, skal de selvfølgelig afklares. Men det, der er mit vidensgrundlag, er som sagt, at der ikke sker nogle økonomiske ændringer. Formanden : Tak til kulturministeren. Der er ikke flere, der har bedt om ordet. Forhandlingen er sluttet. Jeg foreslår, at lovforslaget henvises til Kulturudvalget. Hvis ingen gør indsigelse, betragter jeg det som vedtaget. Det er vedtaget. Jeg skal så her udsætte mødet. Mødet genoptages. : Mødet er udsat. (). Første næstformand",ALT
2013,4,Kristian Thulesen Dahl (DF),"Tak for det. Efter det her småskænderi, der har været, vil jeg bare starte med at sige, at jeg har glædet mig rigtig meget til det her. Jeg synes altid, at det er spændende at stille statsministeren spørgsmål. Og det er mit håb, at den her spørgetime vil vise, at der så kommer svar. For det er jo det, der er afgørende for, om en spørgetime så rent faktisk også er god. (Nogle medlemmer banker i bordet). Jeg hører, at der bankes bag mig, det er nok positivt ment. Jeg vil sige til statsministeren, at noget af det, som jeg ønsker vi skal diskutere her i dag – det er et område, som statsministeren er velforberedt inden for, det har jeg også tænkt på, for så kan vi få en god debat – er velfærdsturisme. Det er om det her faktum, at bl.a. østeuropæere, men også andre europæere kan komme til Danmark og hæve danske velfærdsydelser. I foråret, da vi forhandlede om SU i fællesskab, fik vi at vide, at de EUdomme, der var, ville resultere i en merudgift til SU til udenlandske borgere på mellem 400 og 500 mio. kr. Det var ganske alvorligt. Vi fik senere at vide, at når det handler om vores børnechecksystem, er det også undergravet. Vurderingen er, at vi nu har en udgift på ca. 400 mio. kr. om året til andre EUborgere. Nu har vi senest set debatter i medierne både om dagpengesystemet og kontanthjælpssystemet. Om kontanthjælpssystemet kunne en avis berette, at der nu er 7.000 andre EUborgere, som hæver dansk kontanthjælp, hvoraf 1.000 har været her i under 1 år. Det er klart, at det er noget, der optager rigtig mange danskere, det må statsministeren forstå. For der er jo risiko for, at det undergraver hele vores samfundsmodel. Hvorfor skal man betale høje skatter i et land for at finansiere borgere, der kommer udefra og med en ganske minimal arbejdsindtægt får adgang til de danske velfærdsydelser? Så derfor er det spørgsmål, jeg ønsker at få svar på fra statsministeren her i dag: Hvad vil regeringen aktivt gøre for at ændre på de vilkår, for at forhindre det her i at vokse yderligere? Herunder er der også det spørgsmål, som jeg stillede i torsdags, men desværre ikke fik svar på – nu er der en større interesse i dag, end der var under åbningsdebatten i torsdags: Vil statsministeren indkalde partierne til at løse det her i fællesskab, eventuelt med henblik på at lave et egentligt nationalt kompromis, hvor partierne i fællesskab kan blive enige om, hvordan vi sikrer den danske velfærdsmodel mod den undergravning, der finder sted på grund af EUreglerne?",DF
2023,93,Pernille Vermund (LA),"Jeg kan se på ministeren, at ministeren er dybt engageret i de sager, man rejser ud for. Og her er det ikke sagerne, vi diskuterer. Det, vi diskuterer, er, hvad det er for nogle forhold, man rejser under, og hvad det er, man bidrager med af omkostninger for skatteyderne, når man så er af sted. Det lyder jo nærmest som en lidelseshistorie, og når man ser ministerens udtryk i ansigtet, kunne det også godt se ud, som om det har været en lidelse. Men på ministerens rejse til Uganda i januar boede ministeren jo bl.a. i en af de luksuriøse villaer på Clouds Mountain Gorilla Lodge sammen med hele ni embedsmand og tre PETvagter, og når man ser på Clouds Mountain Gorilla Lodges hjemmeside, ser det ret enestående ud. En enkelt overnatning for ministeren og hans stab løb da også op i en udgift på hele 45.000 kr. Vil ministeren uddybe, hvad formålet var med ministerens overnatning i den her luksuriøse villa?",LA
2023,74,Peter Skaarup (DD),"Tak for ordet, og tak til Dansk Folkeparti for at indkalde til den her forespørgsel, som jo efterhånden er en fin tradition, vi har fået, og som er interessant, fordi vi jo så der kan diskutere regeringens politik i forhold til indvandring og på værdiområdet i det hele taget. Det er det, vi skal. Vi skal her i dag have fokus på de udfordringer, der følger af indvandringen, og hvad regeringen så rent faktisk vil gøre ved det. I Danmarksdemokraterne mener vi, at man, særligt i de her tider, er vidne til nogle meget negative konsekvenser ved den indvandring, som Danmark har fået igennem mange år efterhånden. Vi ser jo en islamisk vækkelse i de her tider, hvor indvandrere og propalæstinensiske demonstranter kalder til jihad i gaderne. Med andre ord ser vi faktisk udlændinge i vores gader og stræder bakke op om Hamas, der den 7. oktober udførte et brutalt terrorangreb på staten Israel, hvor omkring 1.200 israelere og andre landes statsborgere blev dræbt. Det var jo en massakre, der bringer mindelser frem om holocaust under anden verdenskrig, og en massakre, som vi jo heldigvis fra dansk side har fordømt på det kraftigste; men ikke desto mindre er der altså herboende borgere i Danmark, der hylder massakren, og bruger tiden ved demonstrationerne på i virkeligheden at bakke op om det, som Hamas stod bag. Det bliver vi nødt til at tage alvorligt i Folketinget. I Danmarksdemokraterne mener vi, at man kan sætte spørgsmålstegn ved, om man reelt er integreret i Danmark, hvis man bakker op om Hamas' brutale terrorangreb. Vi er forfærdede over, at så mange herboende stadig væk mentalt, åbenbart, befinder sig i Gaza eller et andet sted i verden – i hvert fald ikke i Danmark – og vi støtter alle bestræbelser her i Folketinget på afstandtagen og indgreb over for mennesker, der hylder terror her i verden. Det er simpelt hen ikke foreneligt med danske værdier, hvis man bakker op om terrorvirksomhed. Vi har så en regering, der udadtil siger – og det gør den også her i dag – at man har en stram og konsekvent udlændingepolitik. Men er det rent faktisk tilfældet? Det er jo det, vi bl.a. under de korte bemærkninger i dag har prøvet at finde ud af. Og når man så spørger til nogle af de her ting, er det bare proces, er der nogen, der siger. Det er bare proces, siger Socialdemokratiets ordfører, når vi gerne vil have nogle initiativer på det her område. Så gør man reelt noget ved de udfordringer, vi har været vidne til, ud over at tale om dem? Man taler om herskerattitude og sådan noget, og statsministeren gjorde det også i dag. Men hvad sker der? Altså, er der nogen, der gør noget? Er der nogen i regeringen, der gør noget ved det? Ikke rigtigt, vel? Man kan så kigge på, hvad der er foregået i de her halvandet år, regeringen har siddet. Ja, eksempelvis har man lempet grænsekontrollen. Altså, noget fuldstændig logisk i en tid med terrorvirksomhed, i en tid med rekordagtige tal på migranter, der kommer til Europa – så lemper man grænsekontrollen. Altså, hvad er det for noget? Nå, videre. I november kunne Berlingske afsløre, at der i perioden fra 1980'erne til 2010'erne er tilladt mere end 1.200 ægteskaber mellem ikkevestlige mindreårige piger og ældre mænd i Danmark. Vi har så sent som i februar måned været vidne til, at en mindreårig muslimsk pige er blevet giftet bort ved en religiøs vielse, mens hun boede i Aarhus. Alligevel er der ikke nogen, der er dømt efter lovgivningen, der forbyder både borgerlige og religiøse vielser af mindreårige. Så barnebrude er faktisk fortsat et problem, selv om alle gerne vil bekæmpe det, i islamiske miljøer i Danmark. Har vi så en regering her, der gør noget ved det? Jo altså, vi har en socialminister, der kalder den her sag for Berlingskes afdækning af statsautoriseret pædofili. Altså, vi har en regering, der vil undersøge sagen. Vi har en regering, der siger, at den selvfølgelig er imod barnebrude, men gør man noget ved det? Nej, ingenting, og det er under al kritik. Det er jo altså kritisk, når der ikke er overensstemmelse mellem det, man siger, man vil, og det, man så rent faktisk gør. Om det så hedder at slå søm i, eller hvad der skal ske fra regeringens side, kan vi diskutere, men noget må der ske, regering. Det kan ikke nytte noget, at man taler om proces hele tiden. Så vil jeg på tre partiers vegne, Det Konservative Folkeparti, Liberal Alliance og Danmarksdemokraterne, læse en vedtagelsestekst op med formandens tilladelse, og den lyder sådan her: Forslag til vedtagelse »Folketinget konstaterer, at indvandringen fra især ikkevestlige lande har medført store udfordringer. Disse udfordringer er blevet endnu tydeligere efter Hamas' terrorangreb på, hvor udlændinge på gader og stræder i Danmark har støttet antisemitiske demonstrationer samt givet udtryk for foragt for vestlige værdier som f.eks. ytringsfriheden, ligestilling mellem kønnene og seksuelle minoriteters rettigheder. Samtidig konstaterer Folketinget, at fænomener som parallelle retssystemer, barnebrude og negativ social kontrol er et stort problem i ikkevestlige miljøer. Derfor ser Folketinget med alvor på regeringens udlændingepolitik, der på ingen måde tager et konsekvent opgør med disse udfordringer. Derfor opfordrer Folketinget regeringen til at føre en stram udlændingepolitik. Det er vigtigere end nogensinde før, at tilstrømningen er lav og integrationen styrkes, så parallelsamfundene i Danmark, hvor man lever efter andre værdier, der ikke er forenelige med værdierne, som demokratiske stater som Danmark bygger på, ikke vokser.« (Forslag til vedtagelse nr. V 62). Første næstformand",DD
2009,77,Marianne Jelved (RV),"Tak. Jeg vil gerne indlede med at erklære mig enig i det svar, integrationsministeren gav på beslutningsforslaget. Så kunne jeg jo lade det være ved det, men det vil jeg ikke, for jeg synes, det en interessant diskussion, som Dansk Folkeparti rejser. I virkeligheden er det to diskussioner, der bliver rejst under spørgsmålet: Skal minareter forbydes i Danmark? Dansk Folkeparti har den opfattelse – og det lyder, som om Dansk Folkeparti ved, at sådan er det – at mange mennesker i Danmark oplever, at de ikke kan øve politisk indflydelse på udviklingen i Danmark, især efter EUintegrationen. Det synes jeg er rigtig ærgerligt at Dansk Folkeparti ikke dokumenterer, hvor de tal eller de undersøgelser er henne, for det synes jeg ville være en mægtig god del af argumentationen i bemærkningerne. Det, der karakteriserer bemærkningerne, er jo bemærkninger til folkeafstemningen som institution i et demokrati. Det er jo ikke en argumentation for eller imod bygning af minareter – det fylder tre linjer. Hvis man er venlig, fylder det tre linjer, selv om det er to linjer plus et ord. Resten af bemærkningerne handler om, hvordan man kan bruge folkeafstemninger til nogle bestemte pædagogiske formål. Det behøver hr. Jesper Langballe ikke at ryste på hovedet over, for det er faktisk rigtigt. Så vil jeg sige, at vi jo har været rigtig heldige med meget af den demokratiudvikling, vi har haft i Danmark, med netop at fastholde borgernes interesse i det politiske arbejde. Vi er heldige at have forholdstalsvalg, og det betyder også, at vi har rigtig mange partier at vælge imellem. Det vil sige, at der er rigtig mange valgmuligheder for borgerne til at finde nogle, der repræsenterer deres synspunkter, holdninger og værdier bedre end andre. Det synes jeg er en fantastisk fordel. Jeg synes – selv om jeg er uenig i rigtig meget af det, Dansk Folkeparti står for – at det er en fordel, at Dansk Folkeparti har adgang til Folketingets talerstol og indflydelse på lige fod med alle andre partier. Jeg synes, at det er ærgerligt, at vi har mistet Kristendemokraterne og CD, for at sige det, som det er, for det var også nogle talerør for bestemte holdninger i samfundet. Partierne repræsenterer jo deres vælgere og den politik, som de gik til valg på i sin tid, sidste gang der var folketingsvalg. Så jeg synes, det er lidt ærgerligt, at bemærkningerne koncentrerer sig om argumentet for brug af folkeafstemninger i stedet for at koncentrere sig om argumenter for og imod bygning af minareter. Den demokratiske indflydelse sker jo på mange andre måder end ved folkeafstemninger, som jo er en form for direkte demokrati, som vi plejer at kalde det. Det sker jo i dialog og i samarbejde og ved al den kommunikation, som bl.a. folketingsmedlemmer og lokalpolitikere har med borgerne på kryds og tværs døgnet rundt, året rundt. Jeg synes, at folkeafstemninger er et meget nødvendigt redskab i et demokrati, og derfor er det jo også ganske bestemte grundlæggende ændringer, der kræver folkeafstemninger i Danmark. I Det Radikale Venstre er vi meget interesserede i at nedsætte en grundlovskommission, og vi har faktisk et forslag om, at borgerne – og så kan man diskutere, hvor mange der skal til – skal kunne stille krav om en folkeafstemning ved at samle tilpas mange underskrifter. Det skal jo så fastsættes i en grundlovsændring. Så det ville da være interessant, hvis Dansk Folkeparti ville være med til at argumentere for en grundlovskommission, så vi kunne ændre på grundloven og bl.a. få det gjort til en del af grundloven, at borgerne kan tage initiativ til en folkeafstemning. Det vil Det Radikale Venstre sådan set gerne støtte Dansk Folkeparti i, men vi kan ikke støtte det her forslag. Den fg. formand",RV
2017,10,Aaja Chemnitz Larsen (IA),"Tak for lovforslaget. Inuit Ataqatigiit glæder sig over det første selvstændige lovforslag om beskyttelse af havmiljøet i den eksklusive økonomiske zone omkring Grønland. Vi bemærker, at det er blevet udarbejdet i tæt dialog med naalakkersuisut og tager højde for de grønlandske forhold. Det betyder bl.a., at der ikke tages højde for en EUlovgivning, hvilket er hensigtsmæssigt i den her sammenhæng, i betragtning af at Grønland ikke er medlem af EU. Lovforslaget er tilpasset den virkelighed og de geografiske forhold, der eksisterer i Grønland, hvilket er positivt og et skridt i den rigtige retning. Ofte oplever vi, at kongelige anordninger sætter danske love eller dele af danske love i kraft for Grønland. Disse forholder sig ikke altid til de anderledes samfundsforhold eller anderledes geografiske forhold, som der er på tværs af Danmark og Grønland. Derfor glæder det Inuit Ataqatigiit, at dette lovforslag er den første selvstændige lov for Grønland om beskyttelse af det grønlandske havmiljø. I Grønland lever vi af havet og de ressourcer, som der er i havet. Fiskeriet er stadig væk vores største hovederhverv, og samtidig ser vi også, at turismen i Grønland siger. En øget aktivitet i havet omkring Grønland øger behovet for klare rammer for beskyttelse af havmiljøet. Hovedbudskabet i lovforslaget er, at forureneren betaler, og det mener vi er rimeligt og er på sin plads. Vi bemærker desuden, at regeringens egen Arktisanalyse på forsvarsområdet konstaterede, at der er et behov for at styrke overvågningen i hele Grønland. Dette gør sig gældende både på land, i luften, men også når det drejer sig om Grønlands havområde. Fra Inuit Ataqatigiits side er vi særlig optaget af, hvordan regeringen vil styrke overvågningen af skibe, ubåde m.m. i Grønlands farvand i den eksklusive økonomiske zone. Vi opfordrer derfor til, at regeringen er med til at sikre, at der kommer til at være en styrket overvågning i hele Grønland. Lovforslaget bemærker vi bliver fulgt op af en række bekendtgørelser, hvilket vi bakker op fra Inuit Ataqatigiits side, og samlet set tilslutter vi os lovforslaget. Mange tak. Første næstformand",IA
2016,85,Trine Bramsen (S),"Altså, jeg må sige, og det lyder sådan lidt hårdt, til fru",S
2013,6,Inger Støjberg (V),"Jeg tror nok, at det ligger væsentligt uden for lovforslaget, som det ligger her, i og med at det er en diskussion om, hvordan Flygtningenævnet skal sammensættes. Men den diskussion synes jeg at vi skal tage i udvalget, og det er en diskussion, som jeg også meget gerne vil tage med Dansk Folkeparti. Men lad mig sige det sådan, at jeg kan se både fordele og ulemper ved det. Lad os tage diskussionen om det, men jeg synes bare ikke, det nødvendigvis hører hjemme, lige når vi behandler det her lovforslag. Anden næstformand",V
