year,meeting_number,speaker,party,sentence
2000,90,Søren Kolstrup (EL),EL,"Enhedslisten kan også være tilhængere af en opsplitning af DONGselska- bet. Ja, vi kan oven i købet finde det fornuftigt, 7778 ' 홢 (L 232) at vi får flere DONGselskaber, men i og med at vi er modstandere af forceringen af liberalis.eringen og vi overhovedet er modstandere af målsætningen om at arbejde hen mod en åbning på gasmarkedet med, hvad det indebærer af skærpet konkurrence og få store selskaber, der sidder på et marked og dirigerer gaspolitikken, så må vi klart og entydigt være modstandere af det her forslag."
2000,90,Søren Kolstrup (EL),EL,"Når det er sagt, skal jeg præcisere, at vi er tilhængere af, at DONG E og P, DONG Efterforskning og Produktion, får en stigende betydning i samfundet."
2000,90,Søren Kolstrup (EL),EL,I øjeblikket har de 20 pet.
2000,90,Søren Kolstrup (EL),EL,af andelene i Nordsøen.
2000,90,Søren Kolstrup (EL),EL,"Vi vil arbejde energisk for, at de får en stigende andel."
2000,90,Søren Kolstrup (EL),EL,"Vi ser også gerne, der bliver oprettet et nyt DONGselskab."
2000,90,Søren Kolstrup (EL),EL,"Vi kunne kalde det DONG V og E, DONG Vedvarende Energi, der tager sig af helt nye samfundsområder."
2000,90,Søren Kolstrup (EL),EL,"Så skal jeg præcisere, at vi afviser forslaget, og vi vil bekæmpe den samfundstendens, som forslaget er et udtryk for."
2000,90,Søren Kolstrup (EL),EL,"Og til sidst kunne man jo stille det spørgsmål: Hvad er det egentlig for samfundskræfter, der gør, at man får sådan et forslag som det her på banen?"
2000,90,Søren Kolstrup (EL),EL,"Hvad er det, der gør, at vi lever i et samfund, hvor socialdemokraten hr. Niels Bloch Hansen står frem her og åbent siger: Jeg er en superliberalist."
2000,90,Søren Kolstrup (EL),EL,"Det er jo ikke noget, den social- / demokratiske ordfører har fundet på i sin egen partiafdeling."
2000,90,Søren Kolstrup (EL),EL,"Der er nogle sociale og økonomiske kræfter, som har villet det, men hvem er det, der driver gæk med den socialdemokratiske ordfører?"
2000,90,Søren Kolstrup (EL),EL,Hvad er det for kræfter?
2000,90,Søren Kolstrup (EL),EL,Det kunne i sig selv være spændende at få det afdækket.
2000,90,Søren Kolstrup (EL),EL,"Jeg ved ikke, om den socialdemokratiske ordfører selv er klar over det og har."
2000,90,Søren Kolstrup (EL),EL,et bidrag til en sådan analyse.
2000,90,Søren Kolstrup (EL),EL,; - (Kort bemærkning).
2021,120,Lars Boje Mathiesen (NB),NB,"Nej, men argumentationen for ikke at stemme for var, at vi ikke kan stille nye krav og vi ikke kan lave en sådan garanti, hvis vi ikke har sikret, at der er personale til at løse opgaven."
2021,120,Lars Boje Mathiesen (NB),NB,"Det har bl.a. været argumentationen for, hvorfor man ikke kunne støtte det, og så siger jeg bare, at det må være det princip, vi også kører med fremadrettet, når man kommer med andre velfærdstiltag."
2021,120,Lars Boje Mathiesen (NB),NB,"Og så forstår jeg godt, at Enhedslisten har et ønske om, at der så skal følge penge med, og at der skal være flere offentligt ansatte."
2021,120,Lars Boje Mathiesen (NB),NB,"Men indtil det sker, skal man jo heller ikke komme med nye forslag, medmindre de er finansieret, både med kroner og øre, men også i forhold til personale."
2023,77,Betina Kastbjerg (DD),DD,"Tak for det, formand, og tak for en god debat."
2023,77,Betina Kastbjerg (DD),DD,"Jeg tror, det var Socialdemokratiets ordfører, der sagde, at det ikke behøvede at blive en lang debat, og det blev det heller ikke."
2023,77,Betina Kastbjerg (DD),DD,"Jeg vil gerne takke for opbakningen eller i hvert fald de positive tilkendegivelser, der kom fra Liberal Alliance, Konservative og Dansk Folkeparti."
2023,77,Betina Kastbjerg (DD),DD,Der er lidt med Radikale i forhold til ændringsforslaget.
2023,77,Betina Kastbjerg (DD),DD,"Jeg håber på, vi kan lande et ændringsforslag, så også Radikale kan bakke op."
2023,77,Betina Kastbjerg (DD),DD,Jeg vil også sige en stor tak til ministeren og regeringspartierne for de positive tilkendegivelser.
2023,77,Betina Kastbjerg (DD),DD,"Det her er mit første beslutningsforslag i salen, og jeg tænker bare, at hvis jeg har samme til succesrate med de næste beslutningsforslag, skal jeg bare have fremsat nogle flere."
2023,77,Betina Kastbjerg (DD),DD,"Tusind tak for debatten, og jeg glæder mig til, at vi får lavet et ændringsforslag, så vi kan få godkendt det her."
2018,4,Jeppe Jakobsen (DF),DF,"Jeg kunne forstå, at ordføreren er meget optaget af det her med, at man skal møde hinanden på tværs af, hvad der vel kunne kaldes sociale klasser eller i hvert fald forskellige baggrunde."
2018,4,Jeppe Jakobsen (DF),DF,Jeg bor i Holbæk Kommune.
2018,4,Jeppe Jakobsen (DF),DF,"I Holbæk by har vi et af de her belastede områder, der hedder Agervang."
2018,4,Jeppe Jakobsen (DF),DF,"Vi har også et område, der hedder Ladegårdsparken, og vi har også et, der hedder Bjergmarken."
2018,4,Jeppe Jakobsen (DF),DF,"Hvis man nu har en daginstitution, som kun har 30 pct. børn, der kommer fra Agervang, som er på listen, og man så har 40 pct. fra Ladegårdsparken og 30 pct. fra Bjergmarken, mener ordføreren så, at det er en rigtig god og forskelligartet børnehave, hvor det gode børneliv kan udfolde sig, og hvor man lærer en masse forskelligt om alle mulige, som ikke ligner en selv?"
2006,82,Jens Peter Vernersen (S),S,"Nu var ministeren jo ganske kort inde på, at der i forbindelse med enkelte kræftformer var lavet en forlænget ventetid."
2006,82,Jens Peter Vernersen (S),S,Det tror jeg også er en belastning for nogle af disse mennesker.
2006,82,Jens Peter Vernersen (S),S,"Har man dokumentation for, at sygdommen ikke forvær- (Spm) 6013 res, når man nu fra sundhedsministerens side går ind og bidrager med en forlængelse af den tid, der går, inden patienten bliver behandlet?"
2006,82,Jens Peter Vernersen (S),S,"Og betyder det så også, at de ikke kunne vælge at komme på udenlandsk hospital ganske tidligt?"
2006,82,Jens Peter Vernersen (S),S,For det måtte jo da ganske givet hænge sammen med det her.
2006,82,Jens Peter Vernersen (S),S,"Jeg synes, det er vigtigt at få oplyst, hvad det er for nogle nye ventetider, der ligger for disse grupper, for det kan man jo ikke se ud af de oplysninger, som er på ministeriets hjemmeside."
2013,41,Steen Gade (SF),SF,"Men vi undgår selvfølgelig ikke også at kigge på den del af transportsiden, men ligesom den radikale ordfører vil jeg da glæde mig over, at vi er blevet enige med Enhedslisten om en togfond."
2013,41,Steen Gade (SF),SF,"Det er jo, når det kommer til stykket, noget, der virkelig rykker."
2013,41,Steen Gade (SF),SF,"Det rykker først efter 2020, det ved jeg godt, men det rykker jo på mange måder, fordi det også er afsætningen af vores vedvarende energi."
2013,41,Steen Gade (SF),SF,"Men det er jo rigtigt, at regeringen har valgt, at en række ting på transportområdet lader man ligge for tiden."
2013,41,Steen Gade (SF),SF,"Det er ikke alt sammen noget, der har groet i SF's have, men det er sådan, det er."
2013,41,Steen Gade (SF),SF,"Til gengæld vil jeg sige, at ud fra, hvad jeg føler langt nede i min egen mave, ville det jo ikke være det, jeg ville være startet med, når jeg ser sagligt på det."
2013,41,Steen Gade (SF),SF,"Jeg ville faktisk være startet med de områder i landbruget, hvor vi ved, at der er nogle gevinster."
2013,41,Steen Gade (SF),SF,"Der er ikke mange, der helt forstår det, men man skal jo tage det, der er simplest og mest økonomisk og mest fornuftigt fra starten."
2013,41,Steen Gade (SF),SF,Men selvfølgelig undgår man ikke transportområdet.
2013,41,Steen Gade (SF),SF,"Men et af de steder, vi kunne begynde at diskutere, var jo f.eks., hvordan vi får gas ind i den kollektive trafik i storbyerne."
2013,41,Steen Gade (SF),SF,"Der er jo mange muligheder, og jeg ser også frem til ministerens roadmap på det her punkt."
2013,41,Steen Gade (SF),SF,Det andet er...
2013,41,Steen Gade (SF),SF,Anden næstformand
2016,98,Kirsten Normann Andersen (SF),SF,Tak for det.
2016,98,Kirsten Normann Andersen (SF),SF,"Ja, SF er stadig med på at afskaffe produktivitetskravet på sygehusene."
2016,98,Kirsten Normann Andersen (SF),SF,"Det er vi, fordi tiden er rendt fra de økonomiske incitamenter, som lå til grund for at indføre det i tidernes morgen."
2016,98,Kirsten Normann Andersen (SF),SF,Metoden har ganske enkelt udtjent sin værnepligt i en tid med meget store omstruktureringer i sundhedssektoren.
2016,98,Kirsten Normann Andersen (SF),SF,"Med specialeplaner har vi sammen fået styr på, hvad der forudsættes af kompetencer for at løse en given opgave, og specialer er fordelt på enkelte sygehuse, som herefter kan koncentrere sig om at blive endnu bedre til et fagområde."
2016,98,Kirsten Normann Andersen (SF),SF,"Netop specialeplanen har i regionerne også skabt gode muligheder for at fordele opgaverne mellem de lokale sygehuse, og uagtet at det til tider har været lidt besværligt at være patient, er det trods alt godt at vide, at vi ikke bare henvises til det første og det bedste sygehus, men at vi henvises til et sygehus, som har forstand på det, som vi skal behandles for."
2016,98,Kirsten Normann Andersen (SF),SF,Endelig er ventelisterne jo altså også nedbragt til et tåleligt niveau.
2016,98,Kirsten Normann Andersen (SF),SF,"Når alle rationaliseringsgevinster er hentet i form af bedre arbejdstilrettelæggelse og ny teknologi osv., så er der altså kun tilbage at lade personalet løbe hurtigere og hurtigere, og det er og bliver uholdbart, fordi det ikke kan undgå at gå ud over patienterne."
2016,98,Kirsten Normann Andersen (SF),SF,"Jeg har noteret mig, at regionerne selv forsøger at kompensere ved at flytte aftalte ressourcer fra et område til et andet og mere trængt område."
2016,98,Kirsten Normann Andersen (SF),SF,"Jeg har set eksempler på, hvordan regionerne på trods af utidssvarende økonomiske incitamenter alligevel er gået skridtet videre og har sat gang i en mere hensigtsmæssig måde at løse opgaverne på."
2016,98,Kirsten Normann Andersen (SF),SF,"Det gælder eksempelvis de nye diagnosticeringscentre, som flere regioner har oprettet."
2016,98,Kirsten Normann Andersen (SF),SF,"Produktivitetskravet har nemlig som bagside, at det giver mening at indkalde patienterne over flere dage, selv om det både er til gene for patienten og faktisk også tager længere tid for personalet."
2016,98,Kirsten Normann Andersen (SF),SF,"Så når flere sygehuse i stedet har tilrettelagt arbejdet, så patienten kan få foretaget flere undersøgelser på samme dag, så koster det sygehusene på grund af produktivitetskravet."
2016,98,Kirsten Normann Andersen (SF),SF,"Jeg synes, det er et rigtig godt eksempel på, at regionerne kan selv, og at vi trækker på samme hammel, når det gælder at højne kvaliteten i sygehusbehandlingen på en økonomisk forsvarlig måde."
2016,98,Kirsten Normann Andersen (SF),SF,"Derfor mener jeg heller ikke, der er så meget at betænke sig på."
2016,98,Kirsten Normann Andersen (SF),SF,"Tværtimod har vi en god anledning til at udvise den tillid, som vi så ofte taler så højtideligt om."
2016,98,Kirsten Normann Andersen (SF),SF,Lad os nu samle os om at få produktivitetskravet afskaffet.
2016,98,Kirsten Normann Andersen (SF),SF,Tiden er løbet fra det.
2016,98,Kirsten Normann Andersen (SF),SF,"De ansatte kan ikke løbe hurtigere, og det risikerer at gå ud over patientsikkerheden og ordentlig behandling."
2016,98,Kirsten Normann Andersen (SF),SF,"Derfor synes jeg klart, at vi skal bruge det flertal, som kunne skabes, for at lave det hele om, hellere i dag end i morgen."
2016,98,Kirsten Normann Andersen (SF),SF,"SF bakker op om forslaget, men vi ser også frem til behandlingen i udvalget efterfølgende."
2005,79,Jens Peter Vernersen (S),S,"Spørgsmålet går på, om ministeren mener, at hans garanti om, at fødevarekontrol ikke er blevet svækket af de mange nedskæringer på området, har vist sig at holde stik."
2005,79,Jens Peter Vernersen (S),S,"Når jeg spørger, er det, fordi vi jo har en række eksempler."
2005,79,Jens Peter Vernersen (S),S,"Jeg har taget kontrolrapporten med fra Skare Meat, som har været meget omtalt."
2005,79,Jens Peter Vernersen (S),S,"Der er man ude at lave kontrol i to omgange her i februar, og i begge tilfælde er der absolut intet at bemærke, da man er derude."
2005,79,Jens Peter Vernersen (S),S,Det er den 15. februar og den 20. februar.
2005,79,Jens Peter Vernersen (S),S,"Ganske kort tid efter vælter skeletterne åbenbart også derude ud af skabene, for at bruge ministerens eget udtryk."
2005,79,Jens Peter Vernersen (S),S,"Det er jo fantastisk, at man kan være derude og åbenbart ikke have så mange ressourcer, at man kan få lavet en ordentlig kontrol."
2005,79,Jens Peter Vernersen (S),S,"Derfor stiller jeg det spørgsmål, om det i forbindelse med de mange nedskæringer på området har vist sig at holde stik, at det ikke har nogen konsekvens for fødevarekontrollen."
2005,79,Jens Peter Vernersen (S),S,"Der synes jeg såmænd bare, at ministeren skulle indrømme, at det altså har konsekvenser, at man har skåret ned."
2013,107,Lars Barfoed (KF),KF,"Altså, jeg tror, det er forbigået hr. Nikolaj Villumsens opmærksomhed, at der er krig i Irak allerede."
2013,107,Lars Barfoed (KF),KF,Vi starter ikke en krig.
2013,107,Lars Barfoed (KF),KF,Der er sådan set en krig.
2013,107,Lars Barfoed (KF),KF,"Der er mennesker, der bliver fordrevet; der bliver begået grusomme handlinger imod dem; der er et kalifat, der er ved at etablere sig, som kan blive en trussel imod Danmark."
2013,107,Lars Barfoed (KF),KF,Så siger hr.
2018,39,Christensen (DF),DF,"Ja, tallene er rigtige."
2018,39,Christensen (DF),DF,"Ja, vi står på mål for det."
2018,39,Christensen (DF),DF,"Førhen var det sådan, at de tal, der blev sagt her, gik til satspuljen; de gik væk fra de her grupper, de gik ud af deres forsørgelsesgrundlag, de forsvandt over i en anden pulje til noget andet godt."
2018,39,Christensen (DF),DF,"Det, der sker nu, er, at de bliver sat ind på deres egen konto, hvor ATP forrenter dem, og den dag, de bliver pensionister, får de dem udbetalt igen."
2018,39,Christensen (DF),DF,"Det er da bare en fantastisk god aftale, der er lavet."
2018,39,Christensen (DF),DF,"Selv om man står uden for arbejdsmarkedet i en kortere eller længere periode, skal man da selvfølgelig have mulighed for at indbetale til sin pension, således at man også kan have et godt ældreliv, selv om man måske ikke har været helt eller delvis knyttet til arbejdsmarkedet i sin arbejdsdygtige alder."
2018,39,Christensen (DF),DF,"Jeg kan ikke forstå, hvis der er nogle, der synes, det er en dårlig aftale."
2018,39,Christensen (DF),DF,"Det er en winwin-aftale, og nu går pengene til dem selv – de går ikke til andre formål."
2018,39,Christensen (DF),DF,Første næstformand
2007,51,Simon Emil Ammitzbøll (RV),RV,"Man kan jo sige, hvad man vil."
2007,51,Simon Emil Ammitzbøll (RV),RV,Vi lever jo heldigvis i et land med ytringsfrihed.
2007,51,Simon Emil Ammitzbøll (RV),RV,"Men nu er det sådan, at i både Spanien, Belgien og Holland anerkender man allerede, at parforhold mellem to mennesker af samme køn er et ægteskab på lige fod med et ægteskab mellem mand og kvinde, altså findes det allerede."
2007,51,Simon Emil Ammitzbøll (RV),RV,"Det, vi taler om, er, at vi gerne vil give et indhold, der gør, at ægteskabslovgivningen i virkeligheden bliver fuldstændig ens for par af forskelligt køn som for par af samme køn."
2007,51,Simon Emil Ammitzbøll (RV),RV,Der er tre undtagelser tilbage i den nuværende lovgivning.
2007,51,Simon Emil Ammitzbøll (RV),RV,"De handler om adoption, de handler om nogle af anerkendelsesreglerne i forlængelse af insemination, og så handler de om, hvorvidt en kirkelig eller religiøs vielse vil kunne få juridisk gyldighed."
2007,51,Simon Emil Ammitzbøll (RV),RV,"Det er den ligestilling, vi vil have, og man kan sige, at lige meget, hvad hr. Søren Krarup eller andre leger, er der jo allerede denne form for ægteskaber, lige meget om vi kalder dem ægteskaber eller partnerskaber."
2007,51,Simon Emil Ammitzbøll (RV),RV,Tredje næstformand (Holger K.
2014,38,(Carsten Hansen),S,"Det, der er så godt ved det her lovforslag, fru Charlotte Dyremose, er i virkeligheden, at det er kommunerne, der betaler for forskellen mellem de meget dyre grunde og ned til det, man kan bygge for inden for rammebeløbet."
2014,38,(Carsten Hansen),S,"Man kan opføre almene boliger til den normale pris på også de attraktive grunde, og vi kan få en blandet beboermasse."
2014,38,(Carsten Hansen),S,"Er De Konservative uenige i, at der også skal bo mennesker med en almindelig indkomst i f.eks. Nordhavnen?"
2014,38,(Carsten Hansen),S,Anden næstformand
2022,60,Dam (SIU),SIU,"Jamen det er jo bare lidt spøjst, idet ordføreren decideret sagde, at det er over halvdelen af de offentlige indtægter."
2022,60,Dam (SIU),SIU,"Men hvis vi kigger på den offentlige kasses totale indtægt, er det lidt over 12 mia. kr."
2022,60,Dam (SIU),SIU,Her udgør bloktilskuddet knap og nap en tredjedel og er slet ikke tæt på at være halvdelen af de offentlige indtægter.
2022,60,Dam (SIU),SIU,Så det er bare for at få faktaene på plads.
2022,60,Dam (SIU),SIU,"Jeg er enig i, at vi jo selvfølgelig skal kunne snakke om tingene."
2022,60,Dam (SIU),SIU,"Selvfølgelig skal vi også kunne nævne nogle personer, men at omtale en hel befolkningsgruppe – alle dem, der støtter op om selvstændighed, hvilket plejer at være op til netop 75 pct. af den grønlandske befolkning – som værende elitær, er nok ikke særlig retvisende."
2022,60,Dam (SIU),SIU,Den fg. formand
2011,71,Kulturministeren (Uffe Elbæk),ALT,"Jeg vil sige til hr. Michael Aastrup Jensen, at jeg som sagt meget gerne både vil tage høringssvaret alvorligt og tage den diskussion."
2011,71,Kulturministeren (Uffe Elbæk),ALT,"Hvis der overhovedet er nogle tvivlsspørgsmål, skal de selvfølgelig afklares."
2011,71,Kulturministeren (Uffe Elbæk),ALT,"Men det, der er mit vidensgrundlag, er som sagt, at der ikke sker nogle økonomiske ændringer."
2011,71,Kulturministeren (Uffe Elbæk),ALT,Formanden : Tak til kulturministeren.
2011,71,Kulturministeren (Uffe Elbæk),ALT,"Der er ikke flere, der har bedt om ordet."
2011,71,Kulturministeren (Uffe Elbæk),ALT,Forhandlingen er sluttet.
2011,71,Kulturministeren (Uffe Elbæk),ALT,"Jeg foreslår, at lovforslaget henvises til Kulturudvalget."
2011,71,Kulturministeren (Uffe Elbæk),ALT,"Hvis ingen gør indsigelse, betragter jeg det som vedtaget."
2011,71,Kulturministeren (Uffe Elbæk),ALT,Det er vedtaget.
2011,71,Kulturministeren (Uffe Elbæk),ALT,Jeg skal så her udsætte mødet.
2011,71,Kulturministeren (Uffe Elbæk),ALT,Mødet genoptages.
2011,71,Kulturministeren (Uffe Elbæk),ALT,: Mødet er udsat.
2011,71,Kulturministeren (Uffe Elbæk),ALT,().
2011,71,Kulturministeren (Uffe Elbæk),ALT,Første næstformand
2013,4,Kristian Thulesen Dahl (DF),DF,Tak for det.
2013,4,Kristian Thulesen Dahl (DF),DF,"Efter det her småskænderi, der har været, vil jeg bare starte med at sige, at jeg har glædet mig rigtig meget til det her."
2013,4,Kristian Thulesen Dahl (DF),DF,"Jeg synes altid, at det er spændende at stille statsministeren spørgsmål."
2013,4,Kristian Thulesen Dahl (DF),DF,"Og det er mit håb, at den her spørgetime vil vise, at der så kommer svar."
2013,4,Kristian Thulesen Dahl (DF),DF,"For det er jo det, der er afgørende for, om en spørgetime så rent faktisk også er god."
2013,4,Kristian Thulesen Dahl (DF),DF,(Nogle medlemmer banker i bordet).
2013,4,Kristian Thulesen Dahl (DF),DF,"Jeg hører, at der bankes bag mig, det er nok positivt ment."
2013,4,Kristian Thulesen Dahl (DF),DF,"Jeg vil sige til statsministeren, at noget af det, som jeg ønsker vi skal diskutere her i dag –"
2013,4,Kristian Thulesen Dahl (DF),DF,"det er et område, som statsministeren er velforberedt inden for, det har jeg også tænkt på, for så kan vi få en god debat – er velfærdsturisme."
2013,4,Kristian Thulesen Dahl (DF),DF,"Det er om det her faktum, at bl.a. østeuropæere, men også andre europæere kan komme til Danmark og hæve danske velfærdsydelser."
2013,4,Kristian Thulesen Dahl (DF),DF,"I foråret, da vi forhandlede om SU i fællesskab, fik vi at vide, at de EUdomme, der var, ville resultere i en merudgift til SU til udenlandske borgere på mellem 400 og 500 mio. kr."
2013,4,Kristian Thulesen Dahl (DF),DF,Det var ganske alvorligt.
2013,4,Kristian Thulesen Dahl (DF),DF,"Vi fik senere at vide, at når det handler om vores børnechecksystem, er det også undergravet."
2013,4,Kristian Thulesen Dahl (DF),DF,"Vurderingen er, at vi nu har en udgift på ca. 400 mio. kr. om året til andre EUborgere."
2013,4,Kristian Thulesen Dahl (DF),DF,Nu har vi senest set debatter i medierne både om dagpengesystemet og kontanthjælpssystemet.
2013,4,Kristian Thulesen Dahl (DF),DF,"Om kontanthjælpssystemet kunne en avis berette, at der nu er 7.000 andre EUborgere, som hæver dansk kontanthjælp, hvoraf 1.000 har været her i under 1 år."
2013,4,Kristian Thulesen Dahl (DF),DF,"Det er klart, at det er noget, der optager rigtig mange danskere, det må statsministeren forstå."
2013,4,Kristian Thulesen Dahl (DF),DF,"For der er jo risiko for, at det undergraver hele vores samfundsmodel."
2013,4,Kristian Thulesen Dahl (DF),DF,"Hvorfor skal man betale høje skatter i et land for at finansiere borgere, der kommer udefra og med en ganske minimal arbejdsindtægt får adgang til de danske velfærdsydelser?"
2013,4,Kristian Thulesen Dahl (DF),DF,"Så derfor er det spørgsmål, jeg ønsker at få svar på fra statsministeren her i dag: Hvad vil regeringen aktivt gøre for at ændre på de vilkår, for at forhindre det her i at vokse yderligere?"
2013,4,Kristian Thulesen Dahl (DF),DF,"Herunder er der også det spørgsmål, som jeg stillede i torsdags, men desværre ikke fik svar på – nu er der en større interesse i dag, end der var under åbningsdebatten i torsdags: Vil statsministeren indkalde partierne til at løse det her i fællesskab, eventuelt med henblik på at lave et egentligt nationalt kompromis, hvor partierne i fællesskab kan blive enige om, hvordan vi sikrer den danske velfærdsmodel mod den undergravning, der finder sted på grund af EUreglerne?"
2023,93,Pernille Vermund (LA),LA,"Jeg kan se på ministeren, at ministeren er dybt engageret i de sager, man rejser ud for."
2023,93,Pernille Vermund (LA),LA,"Og her er det ikke sagerne, vi diskuterer."
2023,93,Pernille Vermund (LA),LA,"Det, vi diskuterer, er, hvad det er for nogle forhold, man rejser under, og hvad det er, man bidrager med af omkostninger for skatteyderne, når man så er af sted."
2023,93,Pernille Vermund (LA),LA,"Det lyder jo nærmest som en lidelseshistorie, og når man ser ministerens udtryk i ansigtet, kunne det også godt se ud, som om det har været en lidelse."
2023,93,Pernille Vermund (LA),LA,"Men på ministerens rejse til Uganda i januar boede ministeren jo bl.a. i en af de luksuriøse villaer på Clouds Mountain Gorilla Lodge sammen med hele ni embedsmand og tre PETvagter, og når man ser på Clouds Mountain Gorilla Lodges hjemmeside, ser det ret enestående ud."
2023,93,Pernille Vermund (LA),LA,"En enkelt overnatning for ministeren og hans stab løb da også op i en udgift på hele 45.000 kr. Vil ministeren uddybe, hvad formålet var med ministerens overnatning i den her luksuriøse villa?"
2023,74,Peter Skaarup (DD),DD,"Tak for ordet, og tak til Dansk Folkeparti for at indkalde til den her forespørgsel, som jo efterhånden er en fin tradition, vi har fået, og som er interessant, fordi vi jo så der kan diskutere regeringens politik i forhold til indvandring og på værdiområdet i det hele taget."
2023,74,Peter Skaarup (DD),DD,"Det er det, vi skal."
2023,74,Peter Skaarup (DD),DD,"Vi skal her i dag have fokus på de udfordringer, der følger af indvandringen, og hvad regeringen så rent faktisk vil gøre ved det."
2023,74,Peter Skaarup (DD),DD,"I Danmarksdemokraterne mener vi, at man, særligt i de her tider, er vidne til nogle meget negative konsekvenser ved den indvandring, som Danmark har fået igennem mange år efterhånden."
2023,74,Peter Skaarup (DD),DD,"Vi ser jo en islamisk vækkelse i de her tider, hvor indvandrere og propalæstinensiske demonstranter kalder til jihad i gaderne."
2023,74,Peter Skaarup (DD),DD,"Med andre ord ser vi faktisk udlændinge i vores gader og stræder bakke op om Hamas, der den 7. oktober udførte et brutalt terrorangreb på staten Israel, hvor omkring 1.200 israelere og andre landes statsborgere blev dræbt."
2023,74,Peter Skaarup (DD),DD,"Det var jo en massakre, der bringer mindelser frem om holocaust under anden verdenskrig, og en massakre, som vi jo heldigvis fra dansk side har fordømt på det kraftigste; men ikke desto mindre er der altså herboende borgere i Danmark, der hylder massakren, og bruger tiden ved demonstrationerne på i virkeligheden at bakke op om det, som Hamas stod bag."
2023,74,Peter Skaarup (DD),DD,Det bliver vi nødt til at tage alvorligt i Folketinget.
2023,74,Peter Skaarup (DD),DD,"I Danmarksdemokraterne mener vi, at man kan sætte spørgsmålstegn ved, om man reelt er integreret i Danmark, hvis man bakker op om Hamas' brutale terrorangreb."
2023,74,Peter Skaarup (DD),DD,"Vi er forfærdede over, at så mange herboende stadig væk mentalt, åbenbart, befinder sig i Gaza eller et andet sted i verden – i hvert fald ikke i Danmark – og vi støtter alle bestræbelser her i Folketinget på afstandtagen og indgreb over for mennesker, der hylder terror her i verden."
2023,74,Peter Skaarup (DD),DD,"Det er simpelt hen ikke foreneligt med danske værdier, hvis man bakker op om terrorvirksomhed."
2023,74,Peter Skaarup (DD),DD,"Vi har så en regering, der udadtil siger – og det gør den også her i dag – at man har en stram og konsekvent udlændingepolitik."
2023,74,Peter Skaarup (DD),DD,Men er det rent faktisk tilfældet?
2023,74,Peter Skaarup (DD),DD,"Det er jo det, vi bl.a. under de korte bemærkninger i dag har prøvet at finde ud af."
2023,74,Peter Skaarup (DD),DD,"Og når man så spørger til nogle af de her ting, er det bare proces, er der nogen, der siger."
2023,74,Peter Skaarup (DD),DD,"Det er bare proces, siger Socialdemokratiets ordfører, når vi gerne vil have nogle initiativer på det her område."
2023,74,Peter Skaarup (DD),DD,"Så gør man reelt noget ved de udfordringer, vi har været vidne til, ud over at tale om dem?"
2023,74,Peter Skaarup (DD),DD,"Man taler om herskerattitude og sådan noget, og statsministeren gjorde det også i dag."
2023,74,Peter Skaarup (DD),DD,Men hvad sker der?
2023,74,Peter Skaarup (DD),DD,"Altså, er der nogen, der gør noget?"
